Ciudad,Barrio,m2,nº hab,Piso,Ascensor,Precio,Enlace
37,1,38,1,4,1,560,https://www.idealista.com/inmueble/100800751/
37,1,93,3,2,1,575,https://www.idealista.com/inmueble/100943584/
37,1,70,2,0,0,550,https://www.idealista.com/inmueble/101015376/
37,1,100,4,1,0,1800,https://www.idealista.com/inmueble/100443956/
37,1,56,3,1,0,600,https://www.idealista.com/inmueble/98554614/
37,1,70,4,0,0,600,https://www.idealista.com/inmueble/98711290/
37,1,81,3,2,1,900,https://www.idealista.com/inmueble/100737616/
37,1,140,6,1,1,950,https://www.idealista.com/inmueble/88981188/
37,1,56,3,2,0,600,https://www.idealista.com/inmueble/98542463/
37,1,120,5,3,1,1250,https://www.idealista.com/inmueble/97163609/
37,1,60,2,2,1,660,https://www.idealista.com/inmueble/100929965/
